,Genome,Generation,Fitness
0,0,0,-1.87185930814096
1,1,0,-6.729338853382419
2,2,0,-2.4255344746516805
3,3,0,-0.000247192383426409
4,4,0,35.191352017837794
5,5,0,0.480747987033794
6,6,0,-7.007160753579821
7,7,0,-0.0513520747387918
8,8,0,2.81220474941583
9,9,0,-1.44710311335887
10,10,0,-18.525765432651802
11,11,0,-20.7314716947154
12,12,0,-20.7314716947154
13,13,0,-8.17439463230865
14,14,0,54.719957907309706
15,15,0,-1.61772995396885
16,16,0,0.961893954890697
17,17,0,-15.030388678685801
18,18,0,2.33334798605124
19,19,0,4.666820272867231
20,20,0,-9.435253062245039
21,21,0,-18.4699494086317
22,22,0,-20.3302336295884
23,23,0,-18.7082447980318
24,24,0,-6.39049989380067
25,25,0,5.729162002132879
26,26,0,-6.755932633966041
27,27,0,-0.37125424188235107
28,28,0,0.000205902464870857
29,29,0,-10.558431133915
30,30,0,-2.42924020548825
31,31,0,-3.64975434256036
32,32,0,-15.3739752127869
33,33,0,15.769552431469801
34,34,0,-10.4054603835083
35,35,0,60.144889074506295
36,36,0,1.6183067361968402
37,37,0,103.547922551919
38,38,0,0.25650329653547
39,39,0,-0.83201068005016
40,40,0,-19.4358693965733
41,41,0,0.7161987322474491
42,42,0,0.000247192383426409
43,43,0,-7.16240461629991
44,44,0,2.41939545278598
45,45,0,-9.86880571908952
46,46,0,-16.3895980615623
47,47,0,-0.5159709867198811
48,48,0,-11.8886628562375
49,49,0,-11.8886628562375
50,50,0,119.22048567975901
51,51,0,-14.351557195066302
52,52,0,-3.35589713348575
53,53,0,-20.2987808398682
54,54,0,-2.69332778198974
55,55,0,0.863072206733307
56,56,0,0.0479965211152944
57,57,0,-0.18883438157249105
58,58,0,8.236098594834291e-05
59,59,0,17.542466555230597
60,60,0,-6.2940330661685095
61,61,0,-19.1075367395823
62,62,0,1.5730330608738898
63,63,0,18.8471718677007
64,64,0,18.6019685452677
65,65,0,4.2637184248957
66,66,0,4.5947296256689505
67,67,0,-7.724731836263571
68,68,0,-0.17171630902021198
69,69,0,0.607866670210825
70,70,0,-7.29411540829661
71,71,0,-6.72443697659788
72,72,0,-17.776914056954396
73,73,0,-17.776914056954396
74,74,0,1.42726198486507
75,75,0,122.688293072731
76,76,0,-6.541317640196559
77,77,0,-4.16412049374014
78,78,0,8.236098594834291e-05
79,79,0,23.9056446869751
80,80,0,0.5441734327479539
81,81,0,2.2786665255361096
82,82,0,83.8014952409804
83,83,0,-20.209929794248396
84,84,0,0.0
0,0,1,123.00872435126499
1,1,1,120.568359251595
2,2,1,103.719265948493
3,3,1,84.8009661919187
4,4,1,67.6832472858772
5,5,1,55.945084281704105
6,6,1,42.027373916394794
7,7,1,22.4471761038904
8,8,1,-5.85594636464106
9,9,1,-1.6141723733550901
10,10,1,-3.86917878158187
11,11,1,-0.708428020634672
12,12,1,3.28432962690856
13,13,1,3.33326569431341
14,14,1,-0.0653534423500101
15,15,1,-2.05993652855341e-05
16,16,1,8.23974611421363e-05
17,17,1,8.236098594834291e-05
18,18,1,8.23974611421363e-05
19,19,1,8.236098594834291e-05
20,20,1,-0.000267791748711943
21,21,1,-0.00022649271135794302
22,22,1,6.97211295017341
23,23,1,10.046718223406401
24,24,1,1.9063685612533199
25,25,1,3.0917381363405196
26,26,1,-20.439378887300002
27,27,1,-18.831212152486398
28,28,1,20.004155076746898
29,29,1,0.40844871956432
30,30,1,49.073429516976994
31,31,1,51.1238123927223
32,32,1,0.292490387689298
33,33,1,8.236098594834291e-05
34,34,1,0.0592025758306249
35,35,1,-0.0540939332398125
36,36,1,-16.014190806261002
37,37,1,-16.014190806261002
38,38,1,-0.019210699972451
39,39,1,0.10080984680077199
40,40,1,18.5944132557821
41,41,1,19.3885480891673
42,42,1,1.7441380091815701
43,43,1,0.960898592474308
44,44,1,0.10896358440965799
45,45,1,0.10833206203662402
46,46,1,18.8074964638008
47,47,1,22.6110160713445
48,48,1,-1.8475422270397202
49,49,1,2.97302964652068
50,50,1,47.5130906409233
51,51,1,4.88345829149904
52,52,1,-15.724504891347198
53,53,1,1.3442936818158897
54,54,1,3.7030734697164203
55,55,1,-12.327998279212801
56,56,1,-11.2326514908815
57,57,1,-11.2326514908815
58,58,1,11.4356957898159
59,59,1,-8.92412168120026
60,60,1,0.249237442344301
61,61,1,3.22785874214733
62,62,1,-9.9047733506407
63,63,1,6.21513863427035
64,64,1,3.04244385521224
65,65,1,3.67142626086577
66,66,1,1.3707229648300099
67,67,1,0.0893188478780758
68,68,1,0.000144195556998739
69,69,1,0.726691569268717
70,70,1,5.2091058685213305
71,71,1,-20.2094955904765
