Generation,Genome,Fitness
150,0,324.256876529079
150,1,233.854561429695
150,2,333.120329846082
150,3,325.053388010907
150,4,324.325608941355
150,5,324.226300825946
150,6,233.360974333918
150,7,229.807384323036
150,8,150.34447150236
150,9,150.482641789614
150,10,150.698073992681
150,11,150.978607458065
150,12,151.203017151545
150,13,121.333603304145
150,14,150.202628720477
150,15,151.483977628639
150,16,324.25617554462
150,17,324.58254270091
150,18,147.780688002803
150,19,146.313635579372
150,20,56.6108759792283
150,21,54.6258974607533
150,22,234.238056062806
150,23,235.240738303723
150,24,234.430236156637
150,25,147.883361296835
150,26,147.630285812395
150,27,147.475677174833
150,28,150.882373089555
150,29,149.226090959501
150,30,63.2426885582445
150,31,231.978986473265
150,32,147.121366721669
150,33,146.267617441727
150,34,149.94242472247
150,35,151.507366811227
150,36,323.611146033031
150,37,323.852583532646
150,38,149.440270942905
150,39,149.504156190266
150,40,252.177003067711
150,41,245.404361438773
150,42,143.408668338024
150,43,123.493999673371
150,44,147.93453678114
150,45,324.734847697062
150,46,147.434143400843
150,47,146.65995450412
150,48,1.48537008645512
150,49,5.66160239570433
150,50,0.991437151510112
150,51,-19.0098303966998
150,52,-19.0098303966998
150,53,-0.0685243403090213
150,54,43.9114214520832
150,55,-10.5165090546197
150,56,-10.5165090546197
150,57,-15.2580425641389
150,58,-0.0110004859200665
150,59,-6.11687852471292
150,60,-14.5931568508177
150,61,6.38428379878517
150,62,5.32528562959103
150,63,0.110021209990038
150,64,3.73667450442473
150,65,-17.7741975843504
150,66,-13.7567941213066
150,67,3.04304123680552
150,68,-7.35926869589281
150,69,-2.02240448500316
150,70,6.46637190339777
150,71,-0.569840241893729
150,72,-11.7785625750287
150,73,-12.5844303443641
150,74,-4.81797940092716
150,75,-0.124293022919293
150,76,-8.58007852777858
150,77,-6.57552610102056
150,78,-0.0178304672475647
150,79,-1.2351070434727
150,80,-6.37332289374925
150,81,-10.2999869337675
150,82,3.08050520035187
150,83,-14.4104985151111
150,84,0
