Generation,Genome,Fitness
17,0,218.104789049962
17,1,108.297371081204
17,2,228.809884908681
17,3,147.353815817274
17,4,125.249248635754
17,5,145.390630900424
17,6,228.629445842485
17,7,147.502735909118
17,8,21.9993468901092
17,9,21.3300576273792
17,10,92.9000029332086
17,11,146.85074556778
17,12,98.436019093554
17,13,99.2506739534661
17,14,115.991465040835
17,15,115.645692775146
17,16,58.7756452454842
17,17,8.26986659907312
17,18,5.24444390645733
17,19,5.25583543292377
17,20,22.1490373708019
17,21,26.5393946024222
17,22,38.2777822140085
17,23,38.1380666149123
17,24,42.232182534658
17,25,43.2316064992469
17,26,53.5076897857025
17,27,50.507327662495
17,28,93.4151165224513
17,29,93.6960520588535
17,30,29.6881654905493
17,31,54.1305215043772
17,32,147.958320069385
17,33,150.815619440866
17,34,150.815619440866
17,35,112.185009088864
17,36,239.887823635755
17,37,236.453055970767
17,38,137.756529536937
17,39,138.749770668862
17,40,80.7260123291902
17,41,79.9182923591157
17,42,149.133974451287
17,43,150.005477957136
17,44,114.106813828391
17,45,115.166804880146
17,46,232.580852354097
17,47,230.794617209224
17,48,1.56390381247775
17,49,10.0969391320509
17,50,2.54939804710298
17,51,0.608979035936244
17,52,-18.1034034137255
17,53,0.495517731943522
17,54,1.43578877291422
17,55,-0.0810482027159338
17,56,-14.0405473298242
17,57,-0.136295700411736
17,58,-8.17417215307531
17,59,-14.1180162555909
17,60,90.4772432001854
17,61,-11.6133457504147
17,62,-6.33855640624307
17,63,6.86291098578533
17,64,3.88517418872608
17,65,110.165165923844
17,66,-13.7289104802631
17,67,-0.17879923312872
17,68,-3.24294777721899
17,69,-5.98076653611785
17,70,44.7555056589943
17,71,-3.38193169480049
17,72,58.2117623356741
17,73,-9.81148798518252
17,74,11.2740108638222
17,75,4.91977665262031
17,76,-14.3636387228063
17,77,7.63838343120799
17,78,-5.92004306308717
17,79,-12.9507076585062
17,80,6.68626004153981
17,81,6.68626004153981
17,82,-10.8847183834484
17,83,-10.8847183834484
17,84,0
