Generation,Genome,Fitness
88,0,321.017566499573
88,1,320.892611629177
88,2,352.627441120869
88,3,352.627441120869
88,4,321.404855825907
88,5,340.99704254318
88,6,245.564639309859
88,7,244.67493834368
88,8,335.862018402633
88,9,341.716139862248
88,10,259.695470885517
88,11,341.785455945498
88,12,232.836986932771
88,13,233.492658744241
88,14,776.84911066343
88,15,258.289771795061
88,16,322.968267771105
88,17,333.26227798639
88,18,333.26227798639
88,19,253.392837315567
88,20,128.682722871643
88,21,128.506821683606
88,22,243.647576035022
88,23,322.198296533065
88,24,234.104241808864
88,25,231.894573329184
88,26,322.679312680753
88,27,323.167595207865
88,28,229.907114031229
88,29,230.708383757847
88,30,225.123249594442
88,31,219.532878532376
88,32,231.496172971129
88,33,128.022276159971
88,34,233.412413602283
88,35,11.8315929657081
88,36,238.194944954346
88,37,67.9403012551204
88,38,226.523747718903
88,39,233.496173467992
88,40,234.720455568103
88,41,235.027310348529
88,42,250.42985786024
88,43,321.866491905296
88,44,230.170943528649
88,45,240.258638237267
88,46,145.148390796212
88,47,233.503300509388
88,48,-17.5812747707273
88,49,-16.9041702658444
88,50,0.254411768533315
88,51,-7.22926642698553
88,52,6.99072072342773
88,53,-16.773259180868
88,54,-18.8595605170941
88,55,2.26149883753933
88,56,81.8273298362812
88,57,10.5899974221764
88,58,-13.9614979137021
88,59,-16.486479531348
88,60,-0.504049234003859
88,61,-5.80235737887997
88,62,-6.69509240859522
88,63,-3.06864624785544
88,64,-0.00038108825778238
88,65,2.73255220154763
88,66,2.0425712636177
88,67,-1.28314476331856
88,68,-18.055804329545
88,69,1.30058212603277
88,70,0.88150863866386
88,71,-9.31504481478049
88,72,4.54461136992924
88,73,-3.35784073709905
88,74,93.6426928119301
88,75,-0.207992374889297
88,76,-12.1068119231018
88,77,92.1781120516628
88,78,8.51895434812136
88,79,1.27474022228206
88,80,-0.495795823374877
88,81,-10.2491742791694
88,82,-0.100933388279694
88,83,0.00010299682642767
88,84,0
