Generation,Genome,Fitness
164,0,319.305018672762
164,1,325.053670871115
164,2,772.942577839834
164,3,320.637979117005
164,4,246.784704190542
164,5,319.992790192638
164,6,321.286673454915
164,7,321.338432909326
164,8,234.106742379189
164,9,147.405968587333
164,10,130.432635112625
164,11,228.357259002692
164,12,233.987574214017
164,13,234.431947050848
164,14,324.182315807965
164,15,772.37582074597
164,16,235.186627643559
164,17,233.46603396351
164,18,235.370660866959
164,19,776.40923763475
164,20,236.172361244147
164,21,236.102476037992
164,22,257.309797804933
164,23,234.606137457346
164,24,146.835709024223
164,25,131.53048956679
164,26,235.197398975743
164,27,235.100875771746
164,28,236.34951938448
164,29,238.864001839881
164,30,235.182600601808
164,31,235.507394905432
164,32,232.75003267596
164,33,234.042194832174
164,34,136.498367701696
164,35,146.828314467702
164,36,774.282323688282
164,37,323.9368935283
164,38,235.561153644372
164,39,235.502056133971
164,40,144.727531575711
164,41,145.778474422266
164,42,237.86054788897
164,43,235.630107774283
164,44,234.371226325094
164,45,234.404491362122
164,46,131.219764550094
164,47,132.172342474753
164,48,-4.858020413066
164,49,0.084171509141795
164,50,0.000267791748711943
164,51,-1.53987465287217
164,52,7.6542387197389
164,53,-11.019125775047
164,54,1.61496081535618
164,55,-4.20975825527063
164,56,-18.0487230753367
164,57,1.98805504338954
164,58,5.55452612024797
164,59,-16.6801996506036
164,60,-16.6801996506036
164,61,-6.51425058075351
164,62,0.218048671992831
164,63,-11.7898001298942
164,64,-0.192511368275959
164,65,18.4324959088851
164,66,0.108362961084552
164,67,-0.445162583503034
164,68,1.20959462013034
164,69,-5.10393563584471
164,70,0.00010698969506696
164,71,1.66721284830582
164,72,-18.3684256398644
164,73,7.94779273109454
164,74,5.68510170043713
164,75,-0.874607851293206
164,76,5.72786929566543
164,77,0.940191835093309
164,78,0.0001441317254096
164,79,13.596209518795
164,80,49.9319680733656
164,81,1.55788893458264
164,82,-9.69014327689769
164,83,6.09723103478011
164,84,0
