Generation,Genome,Fitness
90,0,342.253739133349
90,1,345.605143710026
90,2,334.07193243159
90,3,241.242538409944
90,4,149.720939232233
90,5,323.323643423946
90,6,322.839996993794
90,7,238.410678538218
90,8,148.030702833848
90,9,148.320239924984
90,10,232.253678255804
90,11,131.237259830441
90,12,229.117181608538
90,13,226.735145975698
90,14,128.85508616143
90,15,147.626684081686
90,16,147.240159667712
90,17,148.579206230803
90,18,120.248562593115
90,19,118.615299324662
90,20,146.792828197427
90,21,236.58365085834
90,22,232.582485642029
90,23,232.142729229221
90,24,148.233228289855
90,25,148.49567589795
90,26,128.572891076709
90,27,128.572891076709
90,28,245.232560031035
90,29,248.860768644924
90,30,236.561007956658
90,31,246.42706381966
90,32,148.555248669127
90,33,128.848309883369
90,34,146.905640605978
90,35,148.789347604148
90,36,241.886796175787
90,37,241.223655562697
90,38,326.249864649352
90,39,241.408573617704
90,40,126.330324036787
90,41,10.7491438897169
90,42,128.584674867476
90,43,149.477046011915
90,44,237.921178750511
90,45,233.498736383681
90,46,306.242321311189
90,47,150.298149101227
90,48,-9.62934207831425
90,49,-9.62934207831425
90,50,-0.699513246366166
90,51,-2.02422752883093
90,52,-0.0855318839073541
90,53,0.000102951232435429
90,54,0.00010299682642767
90,55,-0.366164017633011
90,56,-0.00260466618061635
90,57,-10.2850675329368
90,58,-10.2850675329368
90,59,5.00396664447896
90,60,0.865276338818859
90,61,3.38376308588274
90,62,-0.103007126110313
90,63,0.00010299682642767
90,64,-6.62535449751931
90,65,0.313207469140567
90,66,-7.11742359219327
90,67,78.5188758702678
90,68,-8.39470911097716
90,69,-18.9537320314747
90,70,115.066501777071
90,71,-17.5055950907473
90,72,0.386042405133551
90,73,0.000102951232435429
90,74,-19.6555487855986
90,75,-19.6555487855986
90,76,-4.51361881780379
90,77,1.79361415344617
90,78,-2.60525300264123
90,79,-10.9066979364886
90,80,-7.20891267659493
90,81,-15.8149462266776
90,82,-0.0129278183153374
90,83,7.8299178755874
90,84,0
