Generation,Genome,Fitness
129,0,232.907204283804
129,1,776.745507397103
129,2,148.955383548662
129,3,323.907470012928
129,4,322.853856222974
129,5,147.743637383351
129,6,335.354709993369
129,7,149.08770306246
129,8,333.773509969299
129,9,334.17676110135
129,10,149.753367979737
129,11,150.339101848336
129,12,87.2714640048082
129,13,40.7475941716323
129,14,39.8047921215613
129,15,335.930012571901
129,16,230.197864185684
129,17,225.30135664699
129,18,325.445572710945
129,19,324.381904064401
129,20,325.639865467093
129,21,776.997637589365
129,22,147.50781960055
129,23,146.685674945233
129,24,324.25966527314
129,25,324.438264998968
129,26,776.034310866889
129,27,324.953077046425
129,28,232.952963630859
129,29,231.828808637399
129,30,324.275327858036
129,31,324.095429444156
129,32,248.618169874687
129,33,146.196653049207
129,34,258.383002934316
129,35,323.35600282264
129,36,145.72960797024
129,37,151.588505809688
129,38,230.87878061763
129,39,231.482985984637
129,40,233.189108242699
129,41,232.826946863698
129,42,776.393457614197
129,43,323.686824450187
129,44,322.644079960345
129,45,322.644079960345
129,46,324.901905917232
129,47,324.593484033515
129,48,-6.45116570024801
129,49,-0.0459574301591754
129,50,-2.40311165452776
129,51,113.853114225463
129,52,-3.51147080339857
129,53,-18.4685442538482
129,54,-0.381012216120278
129,55,-10.2437038676036
129,56,-1.94526718303563E-05
129,57,-7.05699812975133
129,58,2.11692728560261
129,59,8.09024956818336
129,60,23.885306690802
129,61,91.8559793793858
129,62,-9.82622079259566
129,63,-14.149773066273
129,64,7.55596241372165
129,65,-13.0539232646003
129,66,3.05359841151436
129,67,3.10750059007747
129,68,0.000133895874355972
129,69,0.101314307839705
129,70,-0.177721024000945
129,71,0.000102906000300268
129,72,11.3694138098296
129,73,1.30824249104997
129,74,0.00010299682642767
129,75,0.000102951232435429
129,76,4.97262498183207
129,77,0.000226593018140875
129,78,0.377563349833691
129,79,-8.87073190317443
129,80,3.57654419833557
129,81,16.9072799950183
129,82,0.000133895874355972
129,83,-14.7888920197608
129,84,0
