Generation,Genome,Fitness
118,0,305.510296964029
118,1,324.919629220745
118,2,146.708540431836
118,3,322.842079966298
118,4,147.849991246683
118,5,233.384968482477
118,6,339.773080722656
118,7,324.194760731977
118,8,774.326491017079
118,9,232.88025019999
118,10,338.292645859322
118,11,340.344823851739
118,12,13.7497758870364
118,13,41.5796989745145
118,14,43.0708879655935
118,15,13.2558251541741
118,16,45.4765576332759
118,17,42.4496146172214
118,18,305.809017709939
118,19,305.98304006672
118,20,347.902435476769
118,21,146.561491567646
118,22,233.245945902344
118,23,232.807728249477
118,24,144.682005137682
118,25,145.811114691126
118,26,148.78107393611
118,27,323.393824804645
118,28,150.165925503561
118,29,150.515520376818
118,30,146.762589904116
118,31,152.394274204686
118,32,149.084436030533
118,33,152.116138435129
118,34,147.143839563059
118,35,343.397586950554
118,36,148.673530739749
118,37,148.846540778169
118,38,233.461446645076
118,39,12.2794369512772
118,40,233.742493091937
118,41,232.99872987678
118,42,338.584400549952
118,43,324.989169852514
118,44,147.948014654215
118,45,152.550583953542
118,46,145.509612294629
118,47,145.793614179571
118,48,1.11705175729413
118,49,2.60203972509017
118,50,-0.997153475376848
118,51,-1.03368644971074
118,52,-1.20619583429445
118,53,-6.12000962823632
118,54,0.257339395643784
118,55,-17.114324544201
118,56,29.6102010937991
118,57,-10.4831421640499
118,58,-10.1720388624021
118,59,3.93059578918069
118,60,-9.58510212414757
118,61,-17.6841541447029
118,62,0.47797737240289
118,63,-17.6266305881107
118,64,1.07739830284665
118,65,0.533544762096609
118,66,-5.73663544323053
118,67,-0.0179729462116285
118,68,-16.7317695447545
118,69,-16.6229267654814
118,70,103.087363784745
118,71,0.864215471506654
118,72,-8.75546905038953
118,73,2.03325595522999
118,74,-15.415234786113
118,75,-0.399740983048432
118,76,6.36470844384876
118,77,-0.423615647414366
118,78,-7.50072403814946
118,79,-8.99943464924883
118,80,17.5506314584784
118,81,-14.8523846720559
118,82,1.65871239120442
118,83,-2.04648518859794
118,84,0
