Generation,Genome,Fitness
0,0,7.28723594424456
0,1,-0.273760170184416
0,2,-8.35081954377872
0,3,0.871432226810951
0,4,-9.97043940508407
0,5,-7.61542428730403
0,6,-11.1299899834813
0,7,13.0055519432173
0,8,-10.2030841526591
0,9,-18.5886855374732
0,10,-18.5886855374732
0,11,-0.038240873014694
0,12,9.87135397724821
0,13,-10.6127532007837
0,14,4.56581662127393
0,15,-6.57835233616142
0,16,-19.7241193330846
0,17,14.4957203759516
0,18,-5.5970328977764
0,19,-10.8723349797599
0,20,7.29853029139315
0,21,-21.9114843017899
0,22,19.1032332629189
0,23,11.49990862112
0,24,9.37255254324371
0,25,-2.42120482263156
0,26,24.6234837138257
0,27,-8.47041551878841
0,28,-20.3916949074075
0,29,-0.179647273911011
0,30,-6.91483293982989
0,31,-0.319436205432875
0,32,-0.0752811961989019
0,33,-17.6969369831558
0,34,-0.42233177589942
0,35,0.107377003643476
0,36,-10.0276321095758
0,37,-17.5830799443702
0,38,3.09948479560587
0,39,0.101882093855614
0,40,-7.55308815094394
0,41,-7.93218785108683
0,42,19.3591879984996
0,43,47.8607865638965
0,44,0.289267171334272
0,45,30.1451738716618
0,46,-16.3983084202367
0,47,-0.248611779263181
0,48,3.1073399198595
0,49,-7.43568522475191
0,50,-8.11862037426175
0,51,-0.428818094722384
0,52,-17.4470233530966
0,53,-6.57038262702222
0,54,-5.99346454239812
0,55,-21.6449527532184
0,56,-7.38102272165168
0,57,-5.37859492720983
0,58,16.553079656077
0,59,6.18246699917414
0,60,-2.28751733687926
0,61,8.32636189610689
0,62,12.8488057986555
0,63,-2.27318289649724
0,64,0.116443698235337
0,65,-9.48191610635026
0,66,-0.044174695332433
0,67,-12.523423868002
0,68,-12.523423868002
0,69,-0.518437926230965
0,70,19.2583819676165
0,71,-12.0565450740439
0,72,41.2295126195133
0,73,-18.2689961613068
0,74,-6.4695377843023
0,75,1.72970222316365
0,76,9.7866477258528
0,77,-7.08391734220749
0,78,-10.2234092389604
0,79,-14.4784717392472
0,80,-14.4784717392472
0,81,2.27527105328039
0,82,-5.57492664228095
0,83,18.3569621477105
0,84,0
1,0,43.4578397469788
1,1,25.6480263054331
1,2,31.5824153035762
1,3,49.9296035008127
1,4,24.0558648121384
1,5,25.5699744977345
1,6,18.5406604460656
1,7,23.796959916681
1,8,8.49464007835872
1,9,4.87966135065627
1,10,5.59678605528456
1,11,6.76673900430604
1,12,2.46702335399634
1,13,2.77834662455704
1,14,-0.885174398328843
1,15,-0.905525066194317
1,16,-9.92422179697381
1,17,-10.028400140707
1,18,-1.49686683458698
1,19,-0.000170704675640572
1,20,8.51631167215317E-05
1,21,8.53044716134866E-05
1,22,6.53296367615646
1,23,4.76777183998011
1,24,19.1351688677146
1,25,16.9963704100606
1,26,-13.9138869778479
1,27,-13.1703882967455
1,28,23.6672681286699
1,29,27.4318953467082
1,30,33.6550359464442
1,31,31.0810043307168
1,32,34.7812456419886
1,33,29.1917618362407
1,34,-2.35689985692354
1,35,-2.36880144621981
1,36,-9.0004587802641
1,37,-9.22988089888285
1,38,-9.22988089888285
1,39,-0.204213790937466
1,40,23.4125593780203
1,41,29.0580065960179
1,42,-5.57438443806529
1,43,-0.882806159902205
1,44,93.736370071357
1,45,98.4477977703583
1,46,20.102243260992
1,47,19.3938848239489
1,48,-13.7925351291572
1,49,-13.7925351291572
1,50,5.16356420219497
1,51,4.65397880849444
1,52,-14.0012106908445
1,53,-11.5283541255861
1,54,18.305968356838
1,55,22.1861939716313
1,56,-0.24572394953059
1,57,-8.43114595648298
1,58,12.7876071049096
1,59,-8.58117666507452
1,60,8.95794756158601
1,61,-9.05751460497488
1,62,-9.05751460497488
1,63,6.94145918086448
1,64,-5.47297606502557
1,65,-3.68075455700826
1,66,-16.6954590389329
1,67,-20.0313522231245
1,68,-0.0930260248185831
1,69,-16.2231336135831
1,70,7.40879687610517
1,71,7.40879687610517
1,72,0.265283063630587
1,73,6.29721409829821
1,74,6.29721409829821
1,75,-10.103508887344
1,76,-10.103508887344
1,77,-3.12608363114638
1,78,-1.15667480592225
1,79,5.43117729459193
1,80,5.43117729459193
1,81,5.43117729459193
1,82,-18.0846553541936
1,83,-18.0846553541936
1,84,0
2,0,94.1557809431463
2,1,95.9047796283845
2,2,24.4702940379508
2,3,40.6791257815936
2,4,29.6231720303858
2,5,29.3993020687432
2,6,31.6741753650259
2,7,33.546399236774
2,8,33.892018491106
2,9,39.9320461365856
2,10,34.3262634854199
2,11,37.2848971974637
2,12,34.2620738483655
2,13,33.9978870904206
2,14,30.0536665938674
2,15,29.6525001958283
2,16,-10.4636277601124
2,17,-9.9385889483507
2,18,24.0950907052314
2,19,22.3088319796844
2,20,10.2328043779235
2,21,12.9235869355488
2,22,108.76038383871
2,23,71.0286250045732
2,24,86.7889222674829
2,25,94.7031544797552
2,26,14.8039502945895
2,27,12.8638919299814
2,28,109.227390670228
2,29,69.6150742955287
2,30,94.7128400626332
2,31,96.7577134642503
2,32,20.9093793109413
2,33,21.5741659665958
2,34,110.073824461154
2,35,95.7110757528346
2,36,19.8068755961946
