Generation,Genome,Fitness
128,0,324.401662744988
128,1,323.923491386404
128,2,244.403429617935
128,3,305.886087021294
128,4,149.644810144937
128,5,306.459321526798
128,6,323.163804448739
128,7,247.748544947867
128,8,63.969322750786
128,9,127.414725027959
128,10,80.6794891664677
128,11,63.6282215973214
128,12,20.3208378105315
128,13,25.1034881966924
128,14,146.42145292589
128,15,147.097581493089
128,16,234.664409925835
128,17,234.90019489823
128,18,147.834543085352
128,19,147.523624119422
128,20,147.215923787102
128,21,254.218493970457
128,22,234.547465686069
128,23,235.066965712565
128,24,235.354432266553
128,25,11.0285754553283
128,26,127.907617964373
128,27,57.2293962131261
128,28,128.547799269484
128,29,128.80785699245
128,30,323.862862223718
128,31,324.058992552376
128,32,232.92864062891
128,33,241.021182614025
128,34,12.6049650472305
128,35,152.464069339237
128,36,238.87955801465
128,37,233.753271307434
128,38,229.971568207159
128,39,239.465837038578
128,40,249.752520244676
128,41,306.346510991535
128,42,24.1215191204603
128,43,24.9603821722443
128,44,247.757645178943
128,45,226.189698724163
128,46,324.055237589452
128,47,334.921559489009
128,48,-1.32304573387664
128,49,15.6047344970491
128,50,76.9178695553886
128,51,1.74187202886212
128,52,-10.4315439216431
128,53,-7.30602665908112
128,54,4.28350735092299
128,55,4.28350735092299
128,56,2.31130028345014
128,57,0.876049806863193
128,58,-3.39006844408827
128,59,29.8268024838538
128,60,1.19704971610767
128,61,16.6547745883243
128,62,-0.486340714708817
128,63,0.788039018680749
128,64,-0.177010345898594
128,65,0.22274093683248
128,66,-9.36291067779467
128,67,0.844635774802754
128,68,5.48202226380748
128,69,5.48202226380748
128,70,0.654812623696557
128,71,-16.3057389926485
128,72,-17.9197735706604
128,73,-17.9197735706604
128,74,-7.06888849106652
128,75,-8.59390070188518
128,76,0.304414861473246
128,77,-1.38096724164235
128,78,-2.70501274687116
128,79,-3.57125016145719
128,80,110.797662688086
128,81,-18.812379003665
128,82,-2.25634117686833
128,83,-5.28791583117628
128,84,0
